Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
CustomerMTM,15,4457,1547,2774,3348,42709,1242,42709,0.000%,.20417,0.11,0.31
RemoveCustomerMTM,15,425,380,707,721,746,192,746,0.000%,.48806,0.22,0.32
CustomerRepoMTMDay,15,10923,8846,10646,11035,40690,7905,40690,0.000%,.09153,10.37,0.00
PLJava2Weeks,50,16579,14565,20377,25779,57251,13497,57251,0.000%,.00606,0.00,0.01
RemovePLJava2Weeks,50,1339,1277,1748,1936,2615,765,2615,0.000%,.00610,0.00,0.00
PLJavaMonth,50,9930,8789,9709,10416,57062,8119,57062,0.000%,.00609,0.00,0.01
RemovePLJavaMonth,50,1183,1186,1540,1649,1854,711,1854,0.000%,.00613,0.00,0.00
PLJavaHalfYear,50,13015,11784,13441,14248,56683,11128,56683,0.000%,.00612,0.00,0.01
RemovePLJavaHalfYear,50,1270,1247,1727,1767,1986,797,1986,0.000%,.00617,0.00,0.00
PLJavaYear,50,11181,9254,11468,17727,70777,8469,70777,0.000%,.00616,0.00,0.01
RemovePLJavaYear,50,1371,1205,1874,1923,3051,910,3051,0.000%,.00621,0.00,0.00
PLJavaYearPortfolio,50,2938,1921,2314,2341,50590,1609,50590,0.000%,.00621,0.00,0.01
RemovePLJavaYearPortfolio,50,653,630,844,852,1071,414,1071,0.000%,.00625,0.00,0.00
PLJavaMonthBranch,50,55487,53164,60871,67125,104781,49562,104781,0.000%,.00620,0.00,0.01
RemovePLJavaMonthBranch,50,338,304,546,556,811,158,811,0.000%,.00628,0.00,0.00
PLJavaYearBranch,50,52537,49023,59847,60743,108599,46815,108599,0.000%,.00624,0.00,0.01
RemovePLJavaYearBranch,50,554,294,543,596,10545,169,10545,0.000%,.00632,0.00,0.00
PositionJava,50,12306,8628,9151,18421,162350,8180,162350,0.000%,.06206,0.03,0.13
RemovePositionJava,50,1259,1195,1683,1694,2043,805,2043,0.000%,.07754,0.04,0.05
PositionJavaProfitCenter,50,1940,1408,1761,1862,26478,1119,26478,0.000%,.07755,0.04,0.16
RemovePositionJavaProfitCenter,50,659,652,938,1038,1162,400,1162,0.000%,.08081,0.04,0.05
PositionJavaBranch,20,27012,1848,50525,59939,68606,955,68606,0.000%,.03701,0.02,0.05
PositionFlowDay,30,9434,4264,4564,4647,156933,4132,156933,0.000%,.02412,0.01,0.03
RemovePositionFlowDay,30,438,429,610,629,760,259,760,0.000%,.02759,0.01,0.02
PositionFlowWeek,30,21738,16366,16954,17061,168189,15781,168189,0.000%,.02720,0.02,0.03
RemovePositionFlowWeek,30,569,498,862,911,1020,337,1020,0.000%,.03207,0.01,0.02
PositionFlowMonth,30,3285,2151,2370,2435,33604,2034,33604,0.000%,.03201,0.02,0.03
RemovePositionFlowMonth,30,533,497,709,736,743,374,743,0.000%,.03319,0.02,0.02
PositionFlowYear,30,5568,4327,4516,4598,36993,3926,36993,0.000%,.03304,0.02,0.04
RemovePositionFlowYear,30,669,610,933,994,1085,400,1085,0.000%,.03443,0.02,0.02
TradesMTMDay,10,246640,229000,234774,234774,426389,214429,426389,0.000%,.00358,0.00,0.01
RemoveTradesMTMDay,10,338,330,416,416,435,254,435,0.000%,.00422,0.00,0.00
TradesMTMDayProfitCenter,10,16907,10967,21308,21308,59800,10807,59800,0.000%,.00420,0.00,0.01
RemoveTradesMTMDayProfitCenter,10,364,349,499,499,501,217,501,0.000%,.00431,0.00,0.00
TradesMTMMonthProfitCenter,10,17089,10689,22171,22171,59798,10323,59798,0.000%,.00429,0.00,0.01
RemoveTradesMTMMonthProfitCenter,10,321,294,427,427,447,235,447,0.000%,.00440,0.00,0.00
TradesMTMJavaCollateral,10,131,116,121,121,274,110,274,0.000%,.00440,1.85,0.00
MarginCallBlotterYear,30,1557,761,813,830,24421,753,24421,0.000%,.43526,1.86,0.00
MarginCallBlotterMonth,30,765,757,779,798,833,749,833,0.000%,.66250,1.20,0.00
CommissionBlotterYear,30,1106,493,511,516,18790,488,18790,0.000%,.90348,201.43,0.00
CustomerFundsReportDay,30,768,329,342,351,13418,318,13418,0.000%,1.30124,0.01,0.00
RepoMTMDay,30,5373,5072,5190,5216,14456,4893,14456,0.000%,.18608,164.08,0.00
PositionByCcyDay,30,12800,11324,12125,12193,51441,11102,51441,0.000%,.07432,0.04,0.10
RemovePositionByCcyDay,30,666,629,870,909,1015,362,1015,0.000%,.08503,0.04,0.06
PositionByCcyPairDay,30,11564,11531,11863,11962,12108,11252,12108,0.000%,.08361,0.05,0.11
RemovePositionByCcyPairDay,30,398,352,520,524,791,284,791,0.000%,.08630,0.04,0.06
TradingDay,30,11390,11000,12070,12078,17875,10681,17875,0.000%,.08482,0.05,0.11
RemoveReportDay,30,405,380,533,578,639,263,639,0.000%,.08922,0.04,0.06
BrokerageReq1,15,33834,15585,15823,16849,288126,15413,288126,0.000%,.01607,0.01,0.02
RemoveBrokerageReq1,15,316,306,365,403,473,203,473,0.000%,.02323,0.01,0.02
BrokerageReq2,15,16613,15347,17990,23200,24030,15138,24030,0.000%,.02270,0.01,0.02
RemoveBrokerageReq2,15,709,367,700,706,5019,236,5019,0.000%,.02355,0.01,0.02
BrokerageReq3,15,12334,12082,12184,12271,15811,11970,15811,0.000%,.02313,0.01,0.03
RemoveBrokerageReq3,15,315,276,413,460,641,219,641,0.000%,.02369,0.01,0.02
AssetFlowReportDay,30,40069,19127,62617,102996,219033,16360,219033,0.000%,.00176,0.00,0.00
RemoveAssetFlowReq1,30,626,571,863,921,1266,384,1266,0.000%,.00179,0.00,0.00
AssetFlowReportMonth,30,28157,26479,28513,28792,67403,24970,67403,0.000%,.00178,0.00,0.00
RemoveAssetFlowReq2,30,5648,5647,7262,7350,8155,2875,8155,0.000%,.00179,0.00,0.00
AssetFlowReportHalfYear,30,157810,154757,167363,170415,209036,148336,209036,0.000%,.00177,0.00,0.00
RemoveAssetFlowReq3,60,3611,3316,4566,4846,5980,1991,12251,0.000%,.00352,0.00,0.00
AssetFlowReportYear,30,345575,320663,370199,373036,762339,304459,762339,0.000%,.00176,0.00,0.00
TOTAL,1935,17575,1797,47390,59426,316125,110,762339,0.000%,.05688,1.18,0.06
